timestamp,Vb,Vs,Is,P,Ph
53226,12.155,0.0041,0.0415,0.505,52.015
53330,12.1575,0.004,0.0401,0.4875,50.7
53434,12.1475,0.0052,0.0518,0.6275,65.26
53537,12.1575,0.0041,0.0413,0.5025,51.7575
53641,12.1538,0.0041,0.0412,0.5,52.0
53744,12.1438,0.0055,0.0549,0.665,68.495
53848,12.1475,0.0053,0.0526,0.6375,66.3
53952,12.155,0.0041,0.0414,0.5025,52.26
54055,12.155,0.0042,0.0415,0.505,52.015
54159,12.1438,0.005,0.0503,0.61,63.44
54263,12.1463,0.0052,0.0522,0.6325,65.78
54366,12.1475,0.0052,0.0521,0.63,64.89
